CODIGO;CLASE;PARTICULAR;PUBLICO;OFICIAL;OTROS;TOTAL
100;AUTOMOVILES;521.038;41.816;2.804;2;565.660
103;AUTOMOVIL;367.493;35.110;413;2;403.018
105;CAMIONETA;100.004;5.508;1.375;-;106.887
107;CAMPERO;53.523;1.198;1.012;-;55.733
109;AMBULANCIA;13;-;4;-;17
111;AMBULANCIA CAMPERO;1;-;-;-;1
113;MINI MPV;1;-;-;-;1
114;MINI TRAIL;-;-;-;-;-
119;CUADRICICLO;3;-;-;-;3
200;BUSES;2.122;13.352;127;-;15.601
203;BUS;794;6.816;48;-;7.658
205;BUSETA;171;1.881;23;-;2.075
207;MINIBUS;27;5;1;-;33
208;MICROBUS;1.109;4.650;55;-;5.814
209;MINI  VAN;12;-;-;-;12
210;VAN;9;-;-;-;9
300;CAMIONES;9.779;7.723;717;16;18.235
303;CAMION;6.982;5.926;335;-;13.243
305;VOLQUETA;2.489;700;367;-;3.556
307;MINICARGADOR;94;-;1;16;111
309;TRACTO/CAMION;214;1.097;14;-;1.325
400;MOTOS;226.349;513;3.515;-;230.377
403;MOTOCICLETA;223.025;-;3.513;-;226.538
405;MOTOTRICICLO;87;-;-;-;87
406;TRICIMOTO;76;-;-;-;76
407;CUATRIMOTO;1.723;-;1;-;1.724
409;MOTOCARRO;1.438;513;1;-;1.952
410;CICLOMOTOR;4;-;-;-;4
500;MAQUINARIA;1.232;1;36;45;1.316
502;ABONADORA;1;-;-;-;1
503;MAQUINARIA AGRICOLA;418;-;6;1;425
505;MAQUINARIA INDUSTRIAL;244;-;26;-;270
507;BARREDORA;1;-;-;-;1
509;EXCAVADORA;147;-;-;12;159
511;RETROEXCAVADORA;108;-;2;5;115
512;MINI EXCAVADORA;9;-;-;-;9
513;BULDOZER;23;-;-;1;24
515;MOTONIVELADORA;24;-;-;3;27
517;COMPACTADORA;5;-;-;-;5
519;VIBROCOMPACTADORA;19;-;2;5;26
521;TRACTOR;73;-;-;10;83
523;MONTACARGAS;110;-;-;5;115
525;GRUA;1;-;-;1;2
527;PAVIMENTADORA;2;-;-;-;2
529;CARGADORA FRONTAL;3;-;-;-;3
531;CARGADOR;28;-;-;1;29
532;RETROCARGADOR;4;-;-;-;4
533;COSECHADORA;6;1;-;1;8
535;PERFORADORA;1;-;-;-;1
537;PILOTEADORA;1;-;-;-;1
539;AUTOHORMIGONERA;2;-;-;-;2
541;APILADOR;2;-;-;-;2
543;ZANJADORA;-;-;-;-;-
544;CARRETILLA ELEVADORA;1;-;-;-;1
545;PLATAFORMA DE ELEVACIO;1;-;-;-;1
600;TRANSPORTE MASIVO;-;921;-;-;921
603;BUS PADRON;-;526;-;-;526
604;BUS ARTICULADO;-;200;-;-;200
605;BUS ALIMENTADOR;-;195;-;-;195
700;REMOLQUES;-;-;-;3.344;3.344
702;REMOLQUE;-;-;-;10;10
703;SEMIREMOLQUE;-;-;-;3.334;3.334
